corpus,sector,target_label,energy_mev,subentry,category,reason
kduq,neutron_elastic,natAg,5.91,13638002,subentry-withdrawn,subentry not present in entry 13638 for this quantity
kduq,neutron_elastic,natAg,6.51,13638002,subentry-withdrawn,subentry not present in entry 13638 for this quantity
kduq,neutron_elastic,natAg,7.14,13638002,subentry-withdrawn,subentry not present in entry 13638 for this quantity
kduq,neutron_elastic,natAg,7.51,13638002,subentry-withdrawn,subentry not present in entry 13638 for this quantity
kduq,neutron_elastic,natAg,8.03,13638002,subentry-withdrawn,subentry not present in entry 13638 for this quantity
kduq,neutron_elastic,natAg,8.41,13638002,subentry-withdrawn,subentry not present in entry 13638 for this quantity
kduq,neutron_elastic,natAg,9.06,13638002,subentry-withdrawn,subentry not present in entry 13638 for this quantity
kduq,neutron_elastic,natAg,9.51,13638002,subentry-withdrawn,subentry not present in entry 13638 for this quantity
kduq,neutron_elastic,natAg,9.99,13638002,subentry-withdrawn,subentry not present in entry 13638 for this quantity
kduq,neutron_elastic,natAr,7.75,22121004,subentry-withdrawn,subentry not present in entry 22121 for this quantity
kduq,neutron_elastic,natAs,8.05,20162006,subentry-withdrawn,subentry not present in entry 20162 for this quantity
kduq,neutron_elastic,natCd,2.25,12804002,subentry-withdrawn,subentry not present in entry 12804 for this quantity
kduq,neutron_elastic,natCd,2.85,12804002,subentry-withdrawn,subentry not present in entry 12804 for this quantity
kduq,neutron_elastic,natCd,4.5,13585002,subentry-withdrawn,subentry not present in entry 13585 for this quantity
kduq,neutron_elastic,natCd,8.41,13585002,subentry-withdrawn,subentry not present in entry 13585 for this quantity
kduq,neutron_elastic,natCd,9.06,13585002,subentry-withdrawn,subentry not present in entry 13585 for this quantity
kduq,neutron_elastic,natCd,9.5,13585002,subentry-withdrawn,subentry not present in entry 13585 for this quantity
kduq,neutron_elastic,natCd,9.99,13585002,subentry-withdrawn,subentry not present in entry 13585 for this quantity
kduq,neutron_elastic,natCd,96.0,21123007,x4i3-parse-failure,parse failed: list index out of range
kduq,neutron_elastic,natCe,0.98,21110007,subentry-withdrawn,subentry not present in entry 21110 for this quantity
kduq,neutron_elastic,natCu,1.6,12869003,subentry-withdrawn,subentry not present in entry 12869 for this quantity
kduq,neutron_elastic,natCu,2.0,12869003,subentry-withdrawn,subentry not present in entry 12869 for this quantity
kduq,neutron_elastic,natCu,2.2,12869003,subentry-withdrawn,subentry not present in entry 12869 for this quantity
kduq,neutron_elastic,natCu,2.6,12869003,subentry-withdrawn,subentry not present in entry 12869 for this quantity
kduq,neutron_elastic,natCu,3.0,12869003,subentry-withdrawn,subentry not present in entry 12869 for this quantity
kduq,neutron_elastic,natCu,3.4,12869003,subentry-withdrawn,subentry not present in entry 12869 for this quantity
kduq,neutron_elastic,natCu,3.8,12869003,subentry-withdrawn,subentry not present in entry 12869 for this quantity
kduq,neutron_elastic,natCu,96.0,21123006,x4i3-parse-failure,parse failed: list index out of range
kduq,neutron_elastic,natCu,155.0,,absent-from-exfor,the supplement marks this row as absent from EXFOR
kduq,neutron_elastic,natHg,16.1,21664014,x4i3-parse-failure,parse failed: Error while parsing 21664014: Attempted to extract error column POL-BM-ERR with incompatible unitsno-dim for data column DATA with units barns/ster
kduq,neutron_elastic,natIn,11.01,10633016,subentry-withdrawn,subentry not present in entry 10633 for this quantity
kduq,neutron_elastic,natMg,1.969,11493004,x4i3-parse-failure,parse failed: 'NoneType' object is not subscriptable
kduq,neutron_elastic,natMg,2.958,11493004,x4i3-parse-failure,parse failed: 'NoneType' object is not subscriptable
kduq,neutron_elastic,natMg,3.948,11493004,x4i3-parse-failure,parse failed: 'NoneType' object is not subscriptable
kduq,neutron_elastic,natMg,4.958,11493004,x4i3-parse-failure,parse failed: 'NoneType' object is not subscriptable
kduq,neutron_elastic,natMg,11.01,10633002,subentry-withdrawn,subentry not present in entry 10633 for this quantity
kduq,neutron_elastic,natNd,0.98,21110009,subentry-withdrawn,subentry not present in entry 21110 for this quantity
kduq,neutron_elastic,natNi,11.01,10633010,subentry-withdrawn,subentry not present in entry 10633 for this quantity
kduq,neutron_elastic,natPb,155.0,,absent-from-exfor,the supplement marks this row as absent from EXFOR
kduq,neutron_elastic,natPd,1.5,12757003,subentry-withdrawn,subentry not present in entry 12757 for this quantity
kduq,neutron_elastic,natPd,1.8,12757003,subentry-withdrawn,subentry not present in entry 12757 for this quantity
kduq,neutron_elastic,natPd,2.3,12757003,subentry-withdrawn,subentry not present in entry 12757 for this quantity
kduq,neutron_elastic,natPd,2.8,12757003,subentry-withdrawn,subentry not present in entry 12757 for this quantity
kduq,neutron_elastic,natPd,3.25,12757003,subentry-withdrawn,subentry not present in entry 12757 for this quantity
kduq,neutron_elastic,natPd,3.75,12757003,subentry-withdrawn,subentry not present in entry 12757 for this quantity
kduq,neutron_elastic,natS,11.01,10633004,subentry-withdrawn,subentry not present in entry 10633 for this quantity
kduq,neutron_total,208Pb,2.491,10047089,subentry-withdrawn,subentry not present in entry 10047 for this quantity
kduq,neutron_total,209Bi,0.011,10449003,x4i3-parse-failure,retrieval failed: XS: AttributeError: 'NoneType' object has no attribute 'total_len'
kduq,neutron_total,48Ti,0.974,10669002,subentry-withdrawn,subentry not present in entry 10669 for this quantity
kduq,neutron_total,48Ti,5.293,13753015,subentry-withdrawn,subentry not present in entry 13753 for this quantity
kduq,neutron_total,52Cr,1.0,12750002,subentry-withdrawn,subentry not present in entry 12750 for this quantity
kduq,neutron_total,52Cr,5.293,13753017,subentry-withdrawn,subentry not present in entry 13753 for this quantity
kduq,neutron_total,56Fe,0.187,10377007,subentry-withdrawn,subentry not present in entry 10377 for this quantity
kduq,neutron_total,56Fe,1.0,22258002,subentry-withdrawn,subentry not present in entry 22258 for this quantity
kduq,neutron_total,56Fe,5.293,13753019,subentry-withdrawn,subentry not present in entry 13753 for this quantity
kduq,neutron_total,58Ni,5.293,13753021,subentry-withdrawn,subentry not present in entry 13753 for this quantity
kduq,neutron_total,93Nb,0.75,12797002,subentry-withdrawn,subentry not present in entry 12797 for this quantity
kduq,neutron_total,natCe,0.182,20819002,subentry-withdrawn,subentry not present in entry 20819 for this quantity
kduq,neutron_total,natCe,2.253,12891002,subentry-withdrawn,subentry not present in entry 12891 for this quantity
kduq,neutron_total,natCr,0.185,10342004,x4i3-parse-failure,retrieval failed: XS: AttributeError: 'NoneType' object has no attribute 'total_len'
kduq,neutron_total,natCu,1.2,12869002,subentry-withdrawn,subentry not present in entry 12869 for this quantity
kduq,neutron_total,natMg,0.008,10791002,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry 10791 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
kduq,neutron_total,natSn,0.002,10639005,subentry-withdrawn,subentry not present in entry 10639 for this quantity
kduq,proton_ay,40Ca,26.3,O0490006,subentry-withdrawn,subentry not present in entry O0490 for this quantity
kduq,proton_ay,40Ca,30.05,O0490003,subentry-withdrawn,subentry not present in entry O0490 for this quantity
kduq,proton_ay,natFe,179.0,D0285008,subentry-withdrawn,subentry not present in entry D0285 for this quantity
kduq,proton_elastic,120Sn,160.0,O0479004,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0479 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
kduq,proton_elastic,209Bi,65.0,E0773008,uncertainty-unresolved,uncertainty unresolved (no-uncertainty): subentry reports no uncertainty on the observable
kduq,proton_elastic,27Al,17.0,O0262004,x4i3-parse-failure,parse failed: 'NoneType' object is not subscriptable
kduq,proton_elastic,28Si,28.0,C1208003,subentry-withdrawn,subentry not present in entry C1208 for this quantity
kduq,proton_elastic,28Si,40.0,O0162021,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0162 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
kduq,proton_elastic,56Fe,10.93,,absent-from-exfor,the supplement marks this row as absent from EXFOR
kduq,proton_elastic,56Fe,11.7,,absent-from-exfor,the supplement marks this row as absent from EXFOR
kduq,proton_elastic,58Ni,11.7,,absent-from-exfor,the supplement marks this row as absent from EXFOR
kduq,proton_elastic,58Ni,17.0,O0262007,subentry-withdrawn,subentry not present in entry O0262 for this quantity
kduq,proton_elastic,58Ni,39.6,O0436003,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0436 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
kduq,proton_elastic,60Ni,39.6,O0436002,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0436 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
kduq,proton_elastic,90Zr,12.7,O0389002,uncertainty-unresolved,"uncertainty unresolved (unrecognised): no preferred uncertainty column among ['ERR-1', 'ERR-2']"
kduq,proton_reaction,120Sn,28.5,O0150007,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0150 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
kduq,proton_reaction,208Pb,28.5,O0150008,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0150 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
kduq,proton_reaction,27Al,9.89,C1042003,subentry-withdrawn,subentry not present in entry C1042 for this quantity
kduq,proton_reaction,27Al,9.9,O0741004,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0741 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
kduq,proton_reaction,27Al,34.0,O0732003,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0732 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
kduq,proton_reaction,27Al,61.0,O0475003,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0475 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
kduq,proton_reaction,27Al,185.0,,absent-from-exfor,the supplement marks this row as absent from EXFOR
kduq,proton_reaction,40Ca,28.5,O0150002,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0150 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
kduq,proton_reaction,56Fe,28.5,O0150003,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0150 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
kduq,proton_reaction,63Cu,6.75,,absent-from-exfor,the supplement marks this row as absent from EXFOR
kduq,proton_reaction,63Cu,9.85,,absent-from-exfor,the supplement marks this row as absent from EXFOR
kduq,proton_reaction,63Cu,9.89,C1042009,subentry-withdrawn,subentry not present in entry C1042 for this quantity
kduq,proton_reaction,natCu,9.3,O1948003,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O1948 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
kduq,proton_reaction,natCu,9.9,O0741006,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0741 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
kduq,proton_reaction,natCu,185.0,,absent-from-exfor,the supplement marks this row as absent from EXFOR
kduq,proton_reaction,natFe,9.21,D0314003,subentry-withdrawn,subentry not present in entry D0314 for this quantity
kduq,proton_reaction,natFe,9.89,C1042006,subentry-withdrawn,subentry not present in entry C1042 for this quantity
kduq,proton_reaction,natFe,9.97,O0741013,x4i3-parse-failure,uncertainty unresolved (entry-unavailable): entry O0741 is not in the x4i3 index; it is most likely one of the entries x4i3 fails to parse
